Outlet ID,Brand Name,Sales Value,DATE
Outlet 39,Brand 9,2527.9824,24-Apr-18
Outlet 40,Brand 5,350.2408,27-Apr-18
Outlet 40,Brand 1,233.8146,13-Apr-18
Outlet 40,Brand 1,233.8146,27-Apr-18
Outlet 40,Brand 3,150.0466,27-Apr-18
Outlet 40,Brand 3,300.0932,13-Apr-18
Outlet 40,Brand 4,220.9098,13-Apr-18
Outlet 41,Brand 5,700.4816,27-Apr-18
Outlet 41,Brand 2,276.0948,13-Apr-18
Outlet 41,Brand 3,300.0932,13-Apr-18
Outlet 41,Brand 3,450.1398,27-Apr-18
Outlet 41,Brand 4,220.9098,13-Apr-18
Outlet 41,Brand 4,220.9098,27-Apr-18
Outlet 42,Brand 1,395.6906,13-Apr-18
Outlet 42,Brand 1,395.6906,27-Apr-18
Outlet 42,Brand 1,1223.0128,13-Apr-18
Outlet 42,Brand 2,276.0948,27-Apr-18
Outlet 42,Brand 2,292.905,13-Apr-18
Outlet 42,Brand 3,300.0932,27-Apr-18
Outlet 42,Brand 4,441.8196,13-Apr-18
Outlet 43,Brand 5,350.2408,13-Apr-18
Outlet 43,Brand 5,350.2408,27-Apr-18
Outlet 43,Brand 2,292.905,13-Apr-18
Outlet 43,Brand 3,300.0932,13-Apr-18
Outlet 43,Brand 3,300.0932,27-Apr-18
Outlet 43,Brand 4,173.0828,27-Apr-18
Outlet 44,Brand 1,233.8146,13-Apr-18
Outlet 44,Brand 2,276.0948,13-Apr-18
Outlet 44,Brand 2,362.4664,13-Apr-18
Outlet 45,Brand 1,233.8146,13-Apr-18
Outlet 45,Brand 1,395.6906,27-Apr-18
Outlet 45,Brand 2,276.0948,27-Apr-18
Outlet 45,Brand 2,585.81,13-Apr-18
Outlet 45,Brand 3,150.0466,13-Apr-18
Outlet 45,Brand 4,220.9098,27-Apr-18
Outlet 46,Brand 1,395.6906,13-Apr-18
Outlet 46,Brand 3,300.0932,13-Apr-18
Outlet 46,Brand 4,220.9098,13-Apr-18
Outlet 47,Brand 1,233.8146,27-Apr-18
Outlet 47,Brand 1,395.6906,13-Apr-18
Outlet 47,Brand 1,611.5064,13-Apr-18
Outlet 47,Brand 2,184.0632,27-Apr-18
Outlet 47,Brand 2,585.81,13-Apr-18
Outlet 47,Brand 2,724.9328,13-Apr-18
Outlet 47,Brand 3,150.0466,27-Apr-18
Outlet 48,Brand 5,350.2408,6-Apr-18
Outlet 48,Brand 1,233.8146,6-Apr-18
Outlet 48,Brand 3,300.0932,6-Apr-18
Outlet 49,Brand 1,611.5064,20-Apr-18
Outlet 49,Brand 2,585.81,20-Apr-18
Outlet 49,Brand 2,724.9328,20-Apr-18
Outlet 49,Brand 3,450.1398,20-Apr-18
Outlet 50,Brand 1,395.6906,6-Apr-18
Outlet 50,Brand 1,791.3812,20-Apr-18
Outlet 50,Brand 2,358.844,6-Apr-18
Outlet 50,Brand 2,368.1264,20-Apr-18
Outlet 50,Brand 2,724.9328,20-Apr-18
Outlet 50,Brand 3,150.0466,6-Apr-18
Outlet 50,Brand 3,450.1398,20-Apr-18
Outlet 51,Brand 1,395.6906,6-Apr-18
Outlet 51,Brand 2,184.0632,6-Apr-18
Outlet 51,Brand 3,150.0466,6-Apr-18
Outlet 52,Brand 5,350.2408,20-Apr-18
Outlet 52,Brand 1,395.6906,6-Apr-18
Outlet 52,Brand 2,276.0948,20-Apr-18
Outlet 52,Brand 3,150.0466,6-Apr-18
Outlet 52,Brand 3,300.0932,20-Apr-18
Outlet 52,Brand 4,173.0828,6-Apr-18
Outlet 53,Brand 5,350.2408,6-Apr-18
Outlet 53,Brand 1,233.8146,6-Apr-18
Outlet 53,Brand 2,276.0948,20-Apr-18
Outlet 53,Brand 2,292.905,20-Apr-18
Outlet 53,Brand 3,150.0466,20-Apr-18
Outlet 53,Brand 4,173.0828,6-Apr-18
Outlet 54,Brand 2,184.0632,6-Apr-18
Outlet 54,Brand 3,300.0932,6-Apr-18
Outlet 54,Brand 4,173.0828,6-Apr-18
Outlet 55,Brand 1,395.6906,6-Apr-18
Outlet 55,Brand 1,611.5064,6-Apr-18
Outlet 55,Brand 1,1223.0128,20-Apr-18
Outlet 55,Brand 2,179.422,20-Apr-18
Outlet 55,Brand 2,276.0948,6-Apr-18
Outlet 55,Brand 2,724.9328,6-Apr-18
Outlet 55,Brand 2,878.715,20-Apr-18
Outlet 55,Brand 3,300.0932,6-Apr-18
Outlet 56,Brand 1,395.6906,6-Apr-18
Outlet 56,Brand 2,179.422,6-Apr-18
Outlet 56,Brand 2,585.81,6-Apr-18
Outlet 56,Brand 3,300.0932,6-Apr-18
Outlet 56,Brand 4,441.8196,6-Apr-18
Outlet 57,Brand 5,350.2408,6-Apr-18
Outlet 57,Brand 1,233.8146,6-Apr-18
Outlet 57,Brand 2,179.422,20-Apr-18
Outlet 57,Brand 2,276.0948,20-Apr-18
Outlet 57,Brand 3,150.0466,6-Apr-18
Outlet 57,Brand 3,150.0466,20-Apr-18
Outlet 58,Brand 6,366.202,20-Apr-18
Outlet 58,Brand 7,1448.0544,20-Apr-18
Outlet 58,Brand 5,2292.3,20-Apr-18
Outlet 58,Brand 8,2689.632,20-Apr-18
Outlet 58,Brand 1,611.5064,20-Apr-18
Outlet 59,Brand 7,362.0136,27-Apr-18
Outlet 59,Brand 10,2893.392,13-Apr-18
Outlet 59,Brand 9,179.3088,13-Apr-18
Outlet 59,Brand 9,231.0412,27-Apr-18
Outlet 59,Brand 9,631.9956,27-Apr-18
Outlet 59,Brand 9,683.8412,13-Apr-18
Outlet 59,Brand 9,1155.206,13-Apr-18
Outlet 59,Brand 9,2527.9824,13-Apr-18
Outlet 60,Brand 6,679.2,6-Apr-18
Outlet 60,Brand 5,764.1,6-Apr-18
Outlet 60,Brand 8,1344.816,6-Apr-18
Outlet 60,Brand 1,395.6906,6-Apr-18
Outlet 60,Brand 1,611.5064,6-Apr-18
Outlet 60,Brand 10,4340.088,27-Apr-18
Outlet 60,Brand 4,662.7294,27-Apr-18
Outlet 60,Brand 9,2527.9824,27-Apr-18
Outlet 61,Brand 6,366.202,6-Apr-18
Outlet 61,Brand 5,350.2408,6-Apr-18
Outlet 61,Brand 1,395.6906,6-Apr-18
Outlet 62,Brand 6,366.202,20-Apr-18
Outlet 62,Brand 6,679.2,20-Apr-18
Outlet 62,Brand 1,233.8146,20-Apr-18
Outlet 63,Brand 6,276.6608,6-Apr-18
Outlet 63,Brand 7,407.3502,6-Apr-18
Outlet 63,Brand 8,448.272,6-Apr-18
Outlet 64,Brand 6,679.2,6-Apr-18
Outlet 64,Brand 6,829.9824,6-Apr-18
Outlet 64,Brand 7,724.0272,27-Apr-18
Outlet 64,Brand 7,1086.0408,6-Apr-18
Outlet 64,Brand 5,2292.3,6-Apr-18
Outlet 64,Brand 8,1344.816,6-Apr-18
Outlet 64,Brand 1,1223.0128,6-Apr-18
Outlet 64,Brand 10,1446.696,27-Apr-18
Outlet 64,Brand 9,1685.3216,27-Apr-18
Outlet 65,Brand 6,553.3216,6-Apr-18
Outlet 65,Brand 7,407.3502,6-Apr-18
Outlet 65,Brand 7,724.0272,6-Apr-18
Outlet 65,Brand 5,1528.2,6-Apr-18
Outlet 65,Brand 8,2689.632,6-Apr-18
Outlet 65,Brand 1,395.6906,6-Apr-18
Outlet 65,Brand 1,611.5064,6-Apr-18
Outlet 65,Brand 4,563.9624,6-Apr-18
Outlet 66,Brand 7,724.0272,6-Apr-18
Outlet 66,Brand 2,276.0948,6-Apr-18
Outlet 66,Brand 2,585.81,6-Apr-18
Outlet 66,Brand 3,300.0932,6-Apr-18
Outlet 66,Brand 10,4340.088,6-Apr-18
Outlet 66,Brand 9,1263.9912,6-Apr-18
Outlet 67,Brand 7,362.0136,13-Apr-18
Outlet 67,Brand 10,1446.696,13-Apr-18
Outlet 67,Brand 10,2893.392,27-Apr-18
Outlet 67,Brand 9,683.8412,13-Apr-18
Outlet 67,Brand 9,1155.206,27-Apr-18
Outlet 67,Brand 9,1263.9912,13-Apr-18
Outlet 67,Brand 9,3370.6432,27-Apr-18
Outlet 68,Brand 7,362.0136,20-Apr-18
Outlet 68,Brand 8,448.272,20-Apr-18
Outlet 68,Brand 1,395.6906,20-Apr-18
Outlet 69,Brand 6,366.202,20-Apr-18
Outlet 69,Brand 5,350.2408,20-Apr-18
